scenario_id,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos,choose_v2r,router_method,router_final_uv,router_final_vm_min,router_final_deficit
fed_combined_load_1p25_line_97_MG2,0.9249321967790266,0.9249321967790266,0.0,9.0,9.0,0.0,0.9508851197003592,0.9504169134260586,-0.0004682062743005,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056155,4.475087324056158,3.552713678800501e-15,7.5993189092403854,7.61783621141693,0.0185173021765443,0.0,0.0,0.0,0.0,0.0,0.0,False,v2b,0.0,0.9508851197003592,0.0
fed_combined_load_1p25_line_99_MG1,0.9291715450659814,0.9291715450659814,0.0,8.0,8.0,0.0,0.9483434051580812,0.95056425386424,0.0022208487061587,1.0,0.0,-1.0,0.0016565948419188,0.0,-0.0016565948419188,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056161,4.475087324056156,-4.440892098500626e-15,6.94763558722056,6.967066997223675,0.0194314100031149,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.95056425386424,0.0
fed_combined_load_1p35_line_101_MG1,0.89851564104583,0.89851564104583,0.0,16.0,16.0,0.0,0.949659965459968,0.9511159771848172,0.0014560117248492,1.0,0.0,-1.0,0.000340034540032,0.0,-0.000340034540032,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.78774710056884,4.796334597511409,0.0085874969425692,9.485600715630294,9.514508633353218,0.0289079177229236,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9511159771848172,0.0
fed_combined_load_1p35_line_127_MG3,0.8971507448855306,0.8971507448855306,0.0,15.0,15.0,0.0,0.9407323550124176,0.9500059627860816,0.009273607773664,3.0,0.0,-3.0,0.0154722750691165,0.0,-0.0154722750691165,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056158,4.475087324056156,-1.7763568394002505e-15,9.239094004100656,9.281787324222288,0.0426933201216321,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500059627860816,0.0
fed_combined_load_1p35_line_128_MG3,0.8940973193215679,0.8940973193215679,0.0,17.0,17.0,0.0,0.9409356620134764,0.9500060479576972,0.0090703859442207,4.0,0.0,-4.0,0.0227332360100127,0.0,-0.0227332360100127,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056166,3.552713678800501e-15,9.358109471063894,9.365452195579522,0.0073427245156274,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500060479576972,0.0
fed_combined_load_1p35_line_129_MG3,0.8968652407164702,0.8968652407164702,0.0,15.0,15.0,0.0,0.9365083333148664,0.9500059750924345,0.013497641777568,5.0,0.0,-5.0,0.0315660644013287,0.0,-0.0315660644013287,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.47508732405615,-6.217248937900877e-15,9.287481987748777,9.29037758772671,0.0028955999779327,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500059750924345,0.0
fed_combined_load_1p35_line_135_MG3,0.8958112279271675,0.8958112279271675,0.0,16.0,16.0,0.0,0.9386968894094244,0.9500058920928798,0.0113090026834553,4.0,0.0,-4.0,0.0249458627680683,0.0,-0.0249458627680683,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.47508732405615,4.475087324056162,1.1546319456101628e-14,9.216712824097687,9.273933726592883,0.0572209024951959,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500058920928798,0.0
fed_combined_load_1p35_line_136_MG3,0.8958742286875465,0.8958742286875465,0.0,15.0,15.0,0.0,0.9412121802222908,0.9500059930579716,0.0087938128356808,4.0,0.0,-4.0,0.0201408196104282,0.0,-0.0201408196104282,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056157,4.47508732405616,2.664535259100376e-15,9.306872885567993,9.29905891541692,-0.0078139701510728,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500059930579716,0.0
fed_combined_load_1p35_line_138_MG3,0.895693360959099,0.895693360959099,0.0,20.0,20.0,0.0,0.9382482141089232,0.9500058842477777,0.0117576701388544,9.0,0.0,-9.0,0.0437006225293972,0.0,-0.0437006225293972,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.475087324056157,8.881784197001252e-16,9.261581533179262,9.27310587793678,0.0115243447575181,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9500058842477777,0.0
fed_combined_load_1p35_line_139_MG3,0.8953127947133023,0.8953127947133023,0.0,17.0,17.0,0.0,0.9396875578318684,0.950005928909052,0.0103183710771835,6.0,0.0,-6.0,0.0339077748009766,0.0,-0.0339077748009766,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056157,4.475087324056163,5.3290705182007506e-15,9.287169923514988,9.310140613217314,0.0229706897023262,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950005928909052,0.0
