scenario_id,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos
fed_n1_tieline_37_MG1_to_MG2,0.9430000000000002,0.9430000000000002,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.0499999999999998,1.05,2.220446049250313e-16,0.0,0.0,0.0,4.475087324056158,4.475087324056148,-9.769962616701378e-15,3.6019145362093634,3.601896070760057,-1.8465449306503956e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_39_MG1_to_MG2,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.9520000000000002,0.952,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056153,4.475087324056156,3.552713678800501e-15,3.5752427666746174,3.575218777838899,-2.398883571830268e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_40_MG1_to_MG2,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.475087324056156,0.0,3.559847513174842,3.5598332184351182,-1.4294739723919037e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_41_MG1_to_MG2,0.9430000000000002,0.9430000000000002,0.0,3.0,3.0,0.0,0.952,0.9519999999999998,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056169,4.475087324056151,-1.7763568394002505e-14,3.576142491508397,3.576155362751577,1.287124318016808e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_49_MG1_to_MG2,0.943,0.943,0.0,4.0,4.0,0.0,0.9468366640518716,0.9519999999999996,0.005163335948128012,2.0,0.0,-2.0,0.0041094704141602,0.0,-0.0041094704141602,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056161,4.475087324056153,-7.993605777301127e-15,3.680641450931817,3.680317822310135,-0.00032362862168167084,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_84_MG2_to_MG3,0.943,0.943,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056162,4.475087324056158,-3.552713678800501e-15,3.5741226995696493,3.574083843280392,-3.885628925726081e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_85_MG2_to_MG3,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.9489739313377622,0.9519999999999996,0.0030260686622374244,1.0,0.0,-1.0,0.0010260686622377,0.0,-0.0010260686622377,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.47508732405615,4.47508732405615,0.0,3.574130722605421,3.5740944985208523,-3.622408456882553e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_86_MG2_to_MG3,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.952,0.9519999999999998,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056155,4.475087324056151,-3.552713678800501e-15,3.57389170631093,3.573883591826118,-8.114484812082878e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_89_MG2_to_MG3,0.943,0.943,0.0,4.0,4.0,0.0,0.9452385174195276,0.9512567414195796,0.00601822400005203,3.0,0.0,-3.0,0.0092427657765575,0.0,-0.0092427657765575,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056157,4.475087324056162,4.440892098500626e-15,3.5308029035238087,3.530286771773157,-0.0005161317506514607,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_91_MG2_to_MG3,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.9519999999999996,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056162,4.475087324056153,-8.881784197001252e-15,3.577037023121353,3.57703311595663,-3.90716472287167e-06,0.0,0.0,0.0,0.0,0.0,0.0
