scenario_id,base_converged,base_vm_min_pu,final_vm_min_pu,base_vm_max_pu,final_vm_max_pu,base_n_undervoltage,final_n_undervoltage,base_n_overvoltage,final_n_overvoltage,base_n_overloaded_lines,final_n_overloaded_lines,base_n_overloaded_trafos,final_n_overloaded_trafos,base_line_loading_max_pct,final_line_loading_max_pct,base_trafo_loading_max_pct,final_trafo_loading_max_pct,base_voltage_deficit_sum_pu,final_voltage_deficit_sum_pu,base_voltage_deficit_max_pu,final_voltage_deficit_max_pu,base_voltage_deficit_sq_sum_pu,final_voltage_deficit_sq_sum_pu,improved_vm_min,reduced_undervoltage_count,reduced_voltage_deficit_sum,accepted_action_count,termination_reason,taboo_event_count,error
fed_combined_load_1p25_line_99_MG1,True,0.9291715450659814,0.9505642538642399,1.05,1.0500000000000003,8,0,0,0,0,0,0,0,4.4750873240561635,4.475087324056156,6.980996927424883,6.967066997223675,0.08066838615645155,0.0,0.020828454934018525,0.0,0.0011891967008913042,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_101_MG1,True,0.89851564104583,0.9511159771848171,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.86022414931292,4.796334597511409,9.581338124578854,9.514508633353218,0.30333271014468455,0.0,0.05148435895416992,0.0,0.010191318804333774,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_127_MG3,True,0.8971507448855306,0.9500059627860815,1.0500000000000003,1.05,15,0,0,0,0,0,0,0,4.480989505673824,4.475087324056156,9.347126514090668,9.281787324222288,0.27828748189743924,0.0,0.05284925511446936,0.0,0.009828538193674038,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_128_MG3,True,0.8940973193215679,0.9500060479576973,1.05,1.05,17,0,0,0,0,0,0,0,4.4791914071439916,4.475087324056166,9.431305587322642,9.365452195579522,0.2953317974963048,0.0,0.05590268067843207,0.0,0.010834696316237668,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_129_MG3,True,0.8968652407164702,0.9500059750924345,1.05,1.0500000000000003,15,0,0,0,0,0,0,0,4.480735818681259,4.47508732405615,9.355551759371922,9.29037758772671,0.279469212520446,0.0,0.05313475928352973,0.0,0.009929629634012997,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_135_MG3,True,0.8958112279271675,0.9500058920928798,1.0500000000000003,1.0500000000000003,16,0,0,0,0,0,0,0,4.48340207682047,4.475087324056162,9.342401921791161,9.273933726592883,0.2890378471499251,0.0,0.05418877207283246,0.0,0.010331495973378183,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_136_MG3,True,0.8958742286875465,0.9500059930579717,1.0500000000000003,1.0500000000000003,15,0,0,0,0,0,0,0,4.479896006527665,4.47508732405616,9.364589950955349,9.299058915416921,0.282755506805899,0.0,0.05412577131245344,0.0,0.010229796665523922,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_138_MG3,True,0.895693360959099,0.9500058842477777,1.05,1.0500000000000005,20,0,0,0,0,0,0,0,4.48360856579282,4.475087324056157,9.345649718834155,9.27310587793678,0.30941122887974015,0.0,0.05430663904090094,0.0,0.010637155382703522,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_139_MG3,True,0.8953127947133023,0.950005928909052,1.0500000000000003,1.05,17,0,0,0,0,0,0,0,4.4828218969213065,4.475087324056163,9.378347086026368,9.310140613217314,0.28954682559187617,0.0,0.05468720528669768,0.0,0.010498493913937675,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_140_MG3,True,0.8944331004611432,0.9500059157411036,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.483197248686457,4.475087324056155,9.36699591969608,9.299665551245225,0.2895863899924007,0.0,0.05556689953885674,0.0,0.010733938247707187,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_165_MG1,True,0.8975750783002086,0.9500135476617332,1.0500000000000003,1.0500000000000003,16,0,0,0,0,0,0,0,4.567386870929435,4.506806416215068,9.340445886941087,9.275491031588302,0.2923899095427742,0.0,0.052424921699791405,0.0,0.010043680390238825,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_166_MG2,True,0.8982373967514735,0.9500065767845504,1.0500000000000003,1.0500000000000003,15,0,0,0,0,0,0,0,4.483993712406822,4.4750873240561555,9.36343661453355,9.29940170617957,0.2760073778553679,0.0,0.05176260324852644,0.0,0.00949533931288124,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_167_MG2,True,0.8980536141796666,0.9500041949342343,1.05,1.0500000000000003,15,0,0,0,0,0,0,0,4.482073570288255,4.47508732405616,9.363039414744168,9.299647994902504,0.2759785203477746,0.0,0.051946385820333396,0.0,0.009546316765213596,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_168_MG1,True,0.8975545030054425,0.9500808403845223,1.0500000000000003,1.05,17,0,0,0,0,0,0,0,4.566420067027067,4.510326214449299,9.340868686440823,9.279277031462852,0.29178455089101984,0.0,0.05244549699455747,0.0,0.009958944706544353,0.0,True,True,True,8,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_170_MG1,True,0.8997228882748837,0.950194633316213,1.05,1.05,14,0,0,0,0,0,0,0,4.475087324056161,4.475087324056163,9.144591183757132,9.089026596247853,0.2577465530776276,0.0,0.050277111725116286,0.0,0.008747063084901831,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_171_MG3,True,0.7273865304447327,0.950007143963047,1.05,1.0500000000000003,17,0,0,0,0,0,0,0,4.475087324056156,4.475087324056156,9.667937117650059,9.579705559961521,0.5559458853193734,0.0,0.22261346955526728,0.0,0.0906000655752354,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
